_id,symbol,timestamp,data.open_time,data.open,data.high,data.low,data.close,data.volume,data.close_time,data.quote_asset_volume,data.number_of_trades,data.taker_buy_base_asset_volume,data.taker_buy_quote_asset_volume,data.ignore
673ad46aff901f3723723adb,ETHBTC,2024-11-18 05:45:14.109501,1731864300000,0.03422000,0.03423000,0.03420000,0.03420000,5.46600000,1731864359999,0.18702798,47,0.79240000,0.02711605,0
673ad46aff901f37237239d9,ETHBTC,2024-11-18 05:45:14.108851,1731848820000,0.03428000,0.03429000,0.03428000,0.03429000,22.95730000,1731848879999,0.78715120,72,12.09360000,0.41464821,0
673ad46aff901f37237239da,ETHBTC,2024-11-18 05:45:14.108853,1731848880000,0.03430000,0.03430000,0.03429000,0.03429000,1.25470000,1731848939999,0.04303529,3,1.16330000,0.03990119,0
673ad46aff901f37237239db,ETHBTC,2024-11-18 05:45:14.108856,1731848940000,0.03430000,0.03431000,0.03429000,0.03430000,36.35720000,1731848999999,1.24703537,110,17.87820000,0.61325459,0
673ad46aff901f37237239dc,ETHBTC,2024-11-18 05:45:14.108859,1731849000000,0.03430000,0.03430000,0.03429000,0.03429000,1.73210000,1731849059999,0.05940696,91,0.03740000,0.00128282,0
673ad46aff901f37237239dd,ETHBTC,2024-11-18 05:45:14.108861,1731849060000,0.03430000,0.03430000,0.03429000,0.03429000,3.01990000,1731849119999,0.10357685,9,2.45110000,0.08407273,0
673ad46aff901f37237239de,ETHBTC,2024-11-18 05:45:14.108863,1731849120000,0.03429000,0.03429000,0.03428000,0.03428000,5.15010000,1731849179999,0.17659660,29,0.00000000,0.00000000,0
673ad46aff901f37237239df,ETHBTC,2024-11-18 05:45:14.108866,1731849180000,0.03428000,0.03429000,0.03428000,0.03428000,2.55350000,1731849239999,0.08753465,8,0.06850000,0.00234886,0
673ad46aff901f37237239e0,ETHBTC,2024-11-18 05:45:14.108868,1731849240000,0.03428000,0.03429000,0.03428000,0.03429000,1.07840000,1731849299999,0.03696831,6,0.07840000,0.00268832,0
673ad46aff901f37237239e1,ETHBTC,2024-11-18 05:45:14.108871,1731849300000,0.03428000,0.03428000,0.03426000,0.03426000,3.01480000,1731849359999,0.10330012,31,0.00850000,0.00029138,0
673ad46aff901f37237239e2,ETHBTC,2024-11-18 05:45:14.108873,1731849360000,0.03426000,0.03426000,0.03423000,0.03426000,12.55560000,1731849419999,0.43003305,69,5.85930000,0.20072408,0
673ad46aff901f37237239e3,ETHBTC,2024-11-18 05:45:14.108876,1731849420000,0.03426000,0.03427000,0.03425000,0.03426000,14.31390000,1731849479999,0.49047235,173,6.12620000,0.20993083,0
673ad46aff901f37237239e4,ETHBTC,2024-11-18 05:45:14.108878,1731849480000,0.03426000,0.03428000,0.03425000,0.03427000,23.40590000,1731849539999,0.80205340,51,21.97590000,0.75306201,0
673ad46aff901f37237239e5,ETHBTC,2024-11-18 05:45:14.108880,1731849540000,0.03427000,0.03427000,0.03426000,0.03427000,10.64020000,1731849599999,0.36461257,48,7.95690000,0.27266999,0
673ad46aff901f37237239e6,ETHBTC,2024-11-18 05:45:14.108883,1731849600000,0.03426000,0.03427000,0.03425000,0.03427000,12.62750000,1731849659999,0.43266853,41,11.40640000,0.39083369,0
673ad46aff901f37237239e7,ETHBTC,2024-11-18 05:45:14.108885,1731849660000,0.03427000,0.03427000,0.03425000,0.03427000,4.44590000,1731849719999,0.15232866,24,1.80400000,0.06180562,0
673ad46aff901f37237239e8,ETHBTC,2024-11-18 05:45:14.108887,1731849720000,0.03427000,0.03430000,0.03427000,0.03430000,21.07230000,1731849779999,0.72240823,83,16.37160000,0.56126828,0
673ad46aff901f37237239e9,ETHBTC,2024-11-18 05:45:14.108890,1731849780000,0.03429000,0.03431000,0.03429000,0.03430000,9.43020000,1731849839999,0.32345048,79,8.56120000,0.29364928,0
673ad46aff901f37237239ea,ETHBTC,2024-11-18 05:45:14.108892,1731849840000,0.03429000,0.03429000,0.03427000,0.03428000,12.95570000,1731849899999,0.44418071,17,2.89930000,0.09938804,0
673ad46aff901f37237239eb,ETHBTC,2024-11-18 05:45:14.108894,1731849900000,0.03428000,0.03430000,0.03428000,0.03430000,3.51070000,1731849959999,0.12039742,16,3.51070000,0.12039742,0
673ad46aff901f37237239ec,ETHBTC,2024-11-18 05:45:14.108897,1731849960000,0.03430000,0.03432000,0.03429000,0.03432000,5.85980000,1731850019999,0.20104010,37,5.81290000,0.19943169,0
673ad46aff901f37237239ed,ETHBTC,2024-11-18 05:45:14.108899,1731850020000,0.03432000,0.03433000,0.03431000,0.03432000,7.98380000,1731850079999,0.27404418,40,6.12060000,0.21008073,0
673ad46aff901f37237239ee,ETHBTC,2024-11-18 05:45:14.108902,1731850080000,0.03431000,0.03432000,0.03431000,0.03431000,3.47100000,1731850139999,0.11911156,15,2.16380000,0.07426159,0
673ad46aff901f37237239ef,ETHBTC,2024-11-18 05:45:14.108904,1731850140000,0.03431000,0.03433000,0.03431000,0.03433000,8.12330000,1731850199999,0.27879673,25,1.18550000,0.04069179,0
673ad46aff901f37237239f0,ETHBTC,2024-11-18 05:45:14.108907,1731850200000,0.03432000,0.03433000,0.03432000,0.03432000,1.51050000,1731850259999,0.05184044,15,0.01110000,0.00038106,0
673ad46aff901f37237239f1,ETHBTC,2024-11-18 05:45:14.108909,1731850260000,0.03432000,0.03434000,0.03432000,0.03433000,3.30190000,1731850319999,0.11333643,30,3.22810000,0.11080288,0
